course_id,course_name,course_area,local,baseline_priority_score,baseline_priority_level,baseline_priority_rank,scenario_count,priority_score_mean,priority_score_min,priority_score_max,priority_score_std,priority_level_stability_rate,high_priority_rate,best_scenario_rank,worst_scenario_rank,maximum_absolute_rank_change,priority_score_range,sensitivity_status
HCP,HACCP Aplicado,Alimentar,Centro 5,50.65,Upper-middle,58,36,50.26,48.73,52.73,1.21,47.22,0.0,51,60,7,4.0,High sensitivity
HAC,Higiene e Segurança Alimentar,Alimentar,Centro 2,24.62,Low,111,36,24.71,21.79,27.69,2.02,52.78,0.0,109,115,4,5.9,High sensitivity
SCI,Segurança Contra Incêndios,Segurança,Centro 3,24.52,Low,112,36,24.46,22.04,27.24,1.72,52.78,0.0,111,115,3,5.2,High sensitivity
GES,Gestão de Equipas,Gestão,Centro 3,24.42,Low,113,36,24.13,19.7,30.43,2.95,55.56,0.0,108,117,5,10.73,High sensitivity
SOC,Socorrismo Básico,Saúde e Segurança,Centro 5,25.9,Lower-middle,110,36,25.71,22.45,30.4,2.22,55.56,0.0,107,114,4,7.95,High sensitivity
GER,Geriatria e Apoio ao Idoso,Saúde,Centro 5,50.94,Upper-middle,57,36,50.71,47.49,53.64,1.75,55.56,0.0,52,68,11,6.15,High sensitivity
EXC,Excel Aplicado à Gestão,Informática,Centro 2,73.87,Upper-middle,12,36,74.07,70.7,76.5,1.63,55.56,44.44,12,14,2,5.8,High sensitivity
HOT,Housekeeping e Operações Hoteleiras,Turismo,Centro 3,48.98,Lower-middle,60,36,48.66,45.63,52.33,2.11,58.33,0.0,53,70,10,6.7,High sensitivity
SEG,Segurança no Trabalho,Segurança,Centro 2,48.43,Lower-middle,62,36,48.44,45.8,51.59,1.62,58.33,0.0,56,66,6,5.79,High sensitivity
PYT,Introdução à Programação em Python,Informática,Centro 1,76.47,High,11,36,76.26,73.73,78.87,1.62,58.33,58.33,10,11,1,5.14,High sensitivity
LID,Liderança e Comunicação,Gestão,Centro 5,49.78,Lower-middle,59,36,49.52,48.59,50.85,0.77,58.33,0.0,57,61,2,2.26,High sensitivity
CYB,Cibersegurança Básica,Informática,Centro 4,72.81,Upper-middle,13,36,72.89,68.6,75.96,2.1,63.89,36.11,12,18,5,7.36,Moderate sensitivity
SOC,Socorrismo Básico,Saúde e Segurança,Centro 1,22.72,Low,116,36,22.54,20.05,26.26,1.77,63.89,0.0,112,118,4,6.21,Moderate sensitivity
INF,"Infeção, Prevenção e Controlo",Saúde,Centro 1,47.77,Lower-middle,64,36,47.59,44.72,50.21,1.72,63.89,0.0,58,73,9,5.49,Moderate sensitivity
ING,Inglês Profissional,Línguas,Centro 2,52.0,Upper-middle,54,36,52.08,49.09,54.26,1.42,63.89,0.0,49,62,8,5.17,Moderate sensitivity
GER,Geriatria e Apoio ao Idoso,Saúde,Centro 2,51.41,Upper-middle,56,36,51.46,49.94,52.54,0.73,63.89,0.0,54,60,4,2.6,Moderate sensitivity
ING,Inglês Profissional,Línguas,Centro 5,24.34,Low,114,36,24.26,23.54,25.07,0.48,63.89,0.0,110,115,4,1.53,Moderate sensitivity
PBI,Power BI e Visualização de Dados,Informática,Centro 4,72.37,Upper-middle,15,36,72.68,65.33,77.9,3.45,66.67,33.33,12,27,12,12.57,Moderate sensitivity
CYB,Cibersegurança Básica,Informática,Centro 2,77.65,High,10,36,77.7,73.58,80.99,2.04,66.67,66.67,8,11,2,7.41,Moderate sensitivity
EXC,Excel Aplicado à Gestão,Informática,Centro 4,77.84,High,9,36,78.0,74.21,80.69,1.78,66.67,66.67,7,10,2,6.48,Moderate sensitivity
GER,Geriatria e Apoio ao Idoso,Saúde,Centro 1,52.47,Upper-middle,53,36,52.2,50.01,54.46,1.34,66.67,0.0,48,59,6,4.45,Moderate sensitivity
INF,"Infeção, Prevenção e Controlo",Saúde,Centro 5,26.8,Lower-middle,109,36,26.99,25.07,29.12,1.27,66.67,0.0,107,111,2,4.05,Moderate sensitivity
VND,Vendas e Negociação,Comercial,Centro 3,21.93,Low,117,36,21.79,20.1,23.74,1.17,66.67,0.0,115,118,2,3.64,Moderate sensitivity
VND,Vendas e Negociação,Comercial,Centro 4,72.45,Upper-middle,14,36,72.44,70.57,74.12,1.1,66.67,33.33,12,17,3,3.55,Moderate sensitivity
EMP,Empilhadores e Movimentação de Cargas,Segurança,Centro 3,22.82,Low,115,36,22.68,21.0,24.45,1.15,66.67,0.0,113,116,2,3.45,Moderate sensitivity
MNT,Manutenção Industrial Básica,Manutenção,Centro 5,71.9,Upper-middle,16,36,71.81,70.16,73.44,1.04,66.67,33.33,14,16,2,3.28,Moderate sensitivity
SEG,Segurança no Trabalho,Segurança,Centro 3,51.84,Upper-middle,55,36,52.06,50.67,53.82,0.91,66.67,0.0,47,57,8,3.15,Moderate sensitivity
EXC,Excel Aplicado à Gestão,Informática,Centro 3,47.18,Lower-middle,65,36,47.4,46.35,48.64,0.67,66.67,0.0,60,71,6,2.29,Moderate sensitivity
MNT,Manutenção Industrial Básica,Manutenção,Centro 3,48.74,Lower-middle,61,36,48.74,47.54,49.65,0.6,66.67,0.0,58,67,6,2.11,Moderate sensitivity
HOT,Housekeeping e Operações Hoteleiras,Turismo,Centro 1,46.42,Lower-middle,67,36,46.35,45.55,47.56,0.57,66.67,0.0,66,70,3,2.01,Moderate sensitivity
GES,Gestão de Equipas,Gestão,Centro 2,47.79,Lower-middle,63,36,47.52,46.69,48.36,0.54,66.67,0.0,61,67,4,1.67,Moderate sensitivity
HAC,Higiene e Segurança Alimentar,Alimentar,Centro 1,53.06,Upper-middle,52,36,53.07,51.14,55.43,1.18,69.44,0.0,45,56,7,4.29,Moderate sensitivity
HOT,Housekeeping e Operações Hoteleiras,Turismo,Centro 4,21.62,Low,118,36,21.63,19.6,23.85,1.37,69.44,0.0,116,118,2,4.25,Moderate sensitivity
HCP,HACCP Aplicado,Alimentar,Centro 4,46.93,Lower-middle,66,36,47.01,44.69,48.83,1.27,69.44,0.0,62,74,8,4.14,Moderate sensitivity
GES,Gestão de Equipas,Gestão,Centro 1,28.1,Lower-middle,107,36,27.99,25.93,30.03,1.51,69.44,0.0,104,110,3,4.1,Moderate sensitivity
FOR,Formação Pedagógica Inicial de Formadores,Formação,Centro 3,77.96,High,8,36,77.75,74.12,81.15,2.42,72.22,72.22,7,11,3,7.03,Moderate sensitivity
HCP,HACCP Aplicado,Alimentar,Centro 2,27.68,Lower-middle,108,36,27.65,24.83,30.69,2.11,72.22,0.0,105,110,3,5.86,Moderate sensitivity
SOC,Socorrismo Básico,Saúde e Segurança,Centro 3,53.74,Upper-middle,51,36,53.38,51.14,55.7,1.46,72.22,0.0,47,57,6,4.56,Moderate sensitivity
SST,Saúde e Segurança no Trabalho,Segurança,Centro 2,46.24,Lower-middle,68,36,46.34,44.79,48.05,1.14,72.22,0.0,64,73,5,3.26,Moderate sensitivity
VND,Vendas e Negociação,Comercial,Centro 2,53.95,Upper-middle,50,36,54.12,52.67,55.7,0.99,72.22,0.0,42,52,8,3.03,Moderate sensitivity
MNT,Manutenção Industrial Básica,Manutenção,Centro 1,78.78,High,7,36,78.47,75.17,80.99,1.89,75.0,75.0,5,9,2,5.82,Moderate sensitivity
HOT,Housekeeping e Operações Hoteleiras,Turismo,Centro 5,70.82,Upper-middle,17,36,70.68,68.4,72.95,1.45,75.0,25.0,14,23,6,4.55,Moderate sensitivity
INF,"Infeção, Prevenção e Controlo",Saúde,Centro 4,45.58,Lower-middle,69,36,45.55,43.51,47.45,1.2,75.0,0.0,67,79,10,3.94,Moderate sensitivity
INF,"Infeção, Prevenção e Controlo",Saúde,Centro 3,70.55,Upper-middle,19,36,70.42,68.91,71.93,0.96,75.0,25.0,15,22,4,3.02,Moderate sensitivity
PBI,Power BI e Visualização de Dados,Informática,Centro 3,70.58,Upper-middle,18,36,70.56,66.94,73.44,1.78,77.78,22.22,15,22,4,6.5,Moderate sensitivity
PBI,Power BI e Visualização de Dados,Informática,Centro 5,70.26,Upper-middle,20,36,70.36,69.17,71.59,0.82,77.78,22.22,17,21,3,2.42,Moderate sensitivity
PYT,Introdução à Programação em Python,Informática,Centro 5,45.3,Lower-middle,71,36,45.25,44.67,45.73,0.34,77.78,0.0,68,74,3,1.06,Moderate sensitivity
SCI,Segurança Contra Incêndios,Segurança,Centro 4,29.3,Lower-middle,106,36,29.21,26.1,33.52,2.08,80.56,0.0,100,110,6,7.42,Stable
SOC,Socorrismo Básico,Saúde e Segurança,Centro 4,30.31,Lower-middle,103,36,30.05,27.71,33.88,1.89,80.56,0.0,97,107,6,6.17,Stable
FOR,Formação Pedagógica Inicial de Formadores,Formação,Centro 5,55.0,Upper-middle,48,36,54.71,51.69,57.75,1.88,80.56,0.0,43,55,7,6.06,Stable
TUR,Atendimento Turístico,Turismo,Centro 2,55.05,Upper-middle,46,36,54.84,52.99,56.56,1.18,80.56,0.0,43,51,5,3.57,Stable
INF,"Infeção, Prevenção e Controlo",Saúde,Centro 2,29.8,Lower-middle,105,36,30.04,28.61,32.05,1.03,80.56,0.0,99,106,6,3.44,Stable
