course_id,course_name,course_area,local,priority_score,priority_level,priority_assessment,current_trainer_count,minimum_additional_trainers,recommended_additional_trainers,minimum_total_trainers,recommended_total_trainers,current_planning_coverage_rate,minimum_planning_coverage_rate,recommended_planning_coverage_rate,current_observed_weighted_coverage_rate,minimum_observed_weighted_coverage_rate,recommended_observed_weighted_coverage_rate,current_coverage_rate_future,minimum_coverage_rate_future,recommended_coverage_rate_future,current_coverage_rate_recent,current_coverage_rate_historical,active_days_future,active_days_recent,active_days_historical,peak_active_actions_future,peak_active_actions_recent,peak_active_actions_historical,peak_additional_trainers_needed_future,peak_additional_trainers_needed_recent,peak_additional_trainers_needed_historical
PBI,Power BI e Visualização de Dados,Informática,Centro 2,80.72,High,High priority with moderate agreement,4,2,4,6,8,69.07,95.88,100.0,85.31,98.35,100.0,69.07,95.88,100.0,78.69,95.24,97,291,1072,6,7,5,4,4,2
CYB,Cibersegurança Básica,Informática,Centro 2,77.65,High,High priority with moderate agreement,3,2,4,5,7,74.68,92.41,100.0,81.22,98.66,100.0,74.68,92.41,100.0,72.36,94.5,79,199,873,5,5,6,4,3,4
PYT,Introdução à Programação em Python,Informática,Centro 4,56.3,Upper-middle,Moderate priority,3,2,4,5,7,71.43,93.51,100.0,89.32,98.33,100.0,71.43,93.51,100.0,86.11,94.15,77,144,854,5,4,4,4,3,2
PYT,Introdução à Programação em Python,Informática,Centro 5,45.3,Lower-middle,Low priority,4,3,4,7,8,75.47,96.23,100.0,91.84,100.0,100.0,75.47,96.23,100.0,89.69,95.07,53,194,467,6,3,3,4,1,2
LOG,Logística e Gestão de Armazém,Logística,Centro 5,81.44,High,Confirmed high priority,2,2,3,4,5,61.36,90.91,100.0,71.51,100.0,100.0,61.36,90.91,100.0,63.03,84.24,44,119,495,3,3,3,3,2,2
PYT,Introdução à Programação em Python,Informática,Centro 2,80.53,High,High priority with moderate agreement,3,2,3,5,6,70.91,98.45,99.45,74.76,98.45,99.45,70.91,100.0,100.0,66.36,87.36,110,217,957,3,5,5,2,4,3
MNT,Manutenção Industrial Básica,Manutenção,Centro 1,78.78,High,High priority with moderate agreement,2,2,3,4,5,72.31,98.25,100.0,72.31,100.0,100.0,78.95,98.25,100.0,63.08,86.16,57,130,542,3,3,4,3,2,2
FOR,Formação Pedagógica Inicial de Formadores,Formação,Centro 3,77.96,High,High priority with moderate agreement,3,2,3,5,6,60.99,97.16,100.0,81.28,99.25,100.0,60.99,97.16,100.0,74.79,91.03,141,349,1393,5,5,5,3,3,3
EXC,Excel Aplicado à Gestão,Informática,Centro 4,77.84,High,High priority with moderate agreement,3,1,3,4,6,75.0,92.5,100.0,83.49,95.37,100.0,75.0,92.5,100.0,76.65,93.76,80,227,881,4,4,4,3,3,2
PYT,Introdução à Programação em Python,Informática,Centro 1,76.47,High,High priority with moderate agreement,3,2,3,5,6,46.67,93.33,99.95,71.61,99.11,99.95,46.67,93.33,100.0,58.74,90.92,60,206,782,4,4,5,3,3,4
