course_id,local,modality,date,total_leads
FOR,Centro 2,Hybrid,2023-01-02,321
EXC,Centro 4,Online,2023-01-02,248
PYT,Centro 1,Online,2023-01-02,235
GES,Centro 4,Online,2023-01-02,215
GES,Centro 4,Hybrid,2023-01-02,214
CYB,Centro 3,Online,2023-01-02,201
LOG,Centro 1,Hybrid,2023-01-02,201
LOG,Centro 4,In-person,2023-01-02,197
CYB,Centro 5,In-person,2023-01-02,193
HAC,Centro 5,In-person,2023-01-02,188
TUR,Centro 2,In-person,2023-01-02,176
FOR,Centro 4,Online,2023-01-02,175
PYT,Centro 4,Hybrid,2023-01-02,175
SEG,Centro 4,In-person,2023-01-02,167
PBI,Centro 2,Online,2023-01-02,163
EMP,Centro 4,In-person,2023-01-02,156
GER,Centro 3,In-person,2023-01-02,154
MNT,Centro 4,In-person,2023-01-02,149
MNT,Centro 3,In-person,2023-01-02,143
EXC,Centro 3,In-person,2023-01-02,142
SST,Centro 4,Hybrid,2023-01-02,142
LID,Centro 5,Online,2023-01-02,138
MNT,Centro 1,In-person,2023-01-02,138
LOG,Centro 3,In-person,2023-01-02,137
CYB,Centro 1,In-person,2023-01-02,131
CYB,Centro 2,Hybrid,2023-01-02,129
SEG,Centro 1,In-person,2023-01-02,129
SST,Centro 3,In-person,2023-01-02,129
EXC,Centro 5,Online,2023-01-02,126
HCP,Centro 5,Hybrid,2023-01-02,124
HCP,Centro 4,In-person,2023-01-02,123
SST,Centro 3,Hybrid,2023-01-02,119
GER,Centro 1,In-person,2023-01-02,116
HOT,Centro 5,In-person,2023-01-02,112
MNT,Centro 5,In-person,2023-01-02,112
VND,Centro 5,Online,2023-01-02,111
PRO,Centro 1,Hybrid,2023-01-02,110
CYB,Centro 2,Online,2023-01-02,109
HCP,Centro 5,In-person,2023-01-02,107
FOR,Centro 1,In-person,2023-01-02,103
SEG,Centro 5,In-person,2023-01-02,102
PYT,Centro 4,Online,2023-01-02,101
SST,Centro 5,In-person,2023-01-02,101
ING,Centro 5,Hybrid,2023-01-02,100
HOT,Centro 3,Hybrid,2023-01-02,98
SOC,Centro 2,In-person,2023-01-02,96
SST,Centro 5,Hybrid,2023-01-02,96
EXC,Centro 1,Online,2023-01-02,95
GER,Centro 2,In-person,2023-01-02,95
SEG,Centro 5,Online,2023-01-02,94
VND,Centro 3,Online,2023-01-02,93
SCI,Centro 1,In-person,2023-01-02,92
PBI,Centro 4,In-person,2023-01-02,90
PBI,Centro 4,Hybrid,2023-01-02,89
HCP,Centro 1,In-person,2023-01-02,87
SCI,Centro 3,Hybrid,2023-01-02,85
TUR,Centro 1,Hybrid,2023-01-02,85
PBI,Centro 2,Hybrid,2023-01-02,84
INF,Centro 1,Hybrid,2023-01-02,83
SOC,Centro 5,Hybrid,2023-01-02,83
PRO,Centro 5,Online,2023-01-02,82
PYT,Centro 2,Hybrid,2023-01-02,82
SEG,Centro 3,In-person,2023-01-02,81
ING,Centro 1,Online,2023-01-02,80
GES,Centro 5,Online,2023-01-02,79
LOG,Centro 5,In-person,2023-01-02,79
HAC,Centro 5,Hybrid,2023-01-02,78
PRO,Centro 3,In-person,2023-01-02,78
HAC,Centro 3,In-person,2023-01-02,77
LID,Centro 4,Online,2023-01-02,77
SST,Centro 5,Online,2023-01-02,77
GES,Centro 1,Hybrid,2023-01-02,76
LID,Centro 2,In-person,2023-01-02,75
HAC,Centro 5,Online,2023-01-02,74
LOG,Centro 4,Hybrid,2023-01-02,74
VND,Centro 3,Hybrid,2023-01-02,74
LOG,Centro 3,Hybrid,2023-01-02,73
PBI,Centro 1,Online,2023-01-02,72
SOC,Centro 1,Hybrid,2023-01-02,72
LID,Centro 2,Hybrid,2023-01-02,71
SEG,Centro 1,Hybrid,2023-01-02,71
SCI,Centro 1,Hybrid,2023-01-02,70
HOT,Centro 2,In-person,2023-01-02,69
PRI,Centro 3,In-person,2023-01-02,69
ING,Centro 2,Hybrid,2023-01-02,67
ING,Centro 3,Hybrid,2023-01-02,67
SEG,Centro 5,Hybrid,2023-01-02,67
SST,Centro 1,In-person,2023-01-02,67
HAC,Centro 1,Hybrid,2023-01-02,65
PRO,Centro 4,Online,2023-01-02,65
EXC,Centro 4,In-person,2023-01-02,64
HOT,Centro 5,Hybrid,2023-01-02,63
GES,Centro 1,In-person,2023-01-02,62
SCI,Centro 3,In-person,2023-01-02,62
FOR,Centro 4,In-person,2023-01-02,61
CYB,Centro 3,Hybrid,2023-01-02,60
CYB,Centro 4,In-person,2023-01-02,60
EMP,Centro 3,In-person,2023-01-02,60
INF,Centro 1,In-person,2023-01-02,60
VND,Centro 5,Hybrid,2023-01-02,60
HCP,Centro 3,In-person,2023-01-02,59
SOC,Centro 5,In-person,2023-01-02,59
PRI,Centro 4,In-person,2023-01-02,56
SEG,Centro 4,Hybrid,2023-01-02,56
INF,Centro 5,In-person,2023-01-02,54
TUR,Centro 5,In-person,2023-01-02,54
LOG,Centro 2,In-person,2023-01-02,53
PBI,Centro 3,In-person,2023-01-02,53
VND,Centro 4,In-person,2023-01-02,53
FOR,Centro 5,Online,2023-01-02,52
SOC,Centro 4,In-person,2023-01-02,52
VND,Centro 3,In-person,2023-01-02,51
PRI,Centro 4,Hybrid,2023-01-02,49
TUR,Centro 5,Hybrid,2023-01-02,45
GER,Centro 5,In-person,2023-01-02,44
SST,Centro 4,Online,2023-01-02,44
EMP,Centro 2,In-person,2023-01-02,43
PBI,Centro 2,In-person,2023-01-02,41
CYB,Centro 4,Online,2023-01-02,39
GES,Centro 4,In-person,2023-01-02,38
HOT,Centro 1,In-person,2023-01-02,38
VND,Centro 2,Hybrid,2023-01-02,38
EMP,Centro 5,In-person,2023-01-02,37
VND,Centro 1,Hybrid,2023-01-02,36
INF,Centro 4,In-person,2023-01-02,33
SST,Centro 2,In-person,2023-01-02,31
SCI,Centro 4,Hybrid,2023-01-02,26
CYB,Centro 5,Online,2023-01-02,25
HAC,Centro 4,In-person,2023-01-02,25
INF,Centro 3,In-person,2023-01-02,21
PRI,Centro 5,In-person,2023-01-02,21
LID,Centro 4,Hybrid,2023-01-02,20
GER,Centro 2,Hybrid,2023-01-02,19
INF,Centro 2,Hybrid,2023-01-02,18
PRO,Centro 4,In-person,2023-01-02,18
SEG,Centro 2,Hybrid,2023-01-02,17
EXC,Centro 5,Hybrid,2023-01-02,16
GES,Centro 5,Hybrid,2023-01-02,16
FOR,Centro 2,In-person,2023-01-02,13
HOT,Centro 4,In-person,2023-01-02,13
MNT,Centro 2,In-person,2023-01-02,13
EXC,Centro 4,Hybrid,2023-01-02,12
PBI,Centro 3,Online,2023-01-02,11
TUR,Centro 2,Hybrid,2023-01-02,11
GER,Centro 4,Hybrid,2023-01-02,10
PRI,Centro 5,Hybrid,2023-01-02,9
GES,Centro 3,Online,2023-01-02,8
PRO,Centro 2,Online,2023-01-02,8
HAC,Centro 2,In-person,2023-01-02,7
ING,Centro 3,Online,2023-01-02,7
SCI,Centro 2,Hybrid,2023-01-02,7
VND,Centro 4,Online,2023-01-02,7
SOC,Centro 3,In-person,2023-01-02,4
EXC,Centro 2,Online,2023-01-02,3
PRI,Centro 3,Hybrid,2023-01-02,3
SEG,Centro 5,Online,2023-01-09,175
LOG,Centro 5,In-person,2023-01-09,108
PRO,Centro 2,Online,2023-01-09,106
CYB,Centro 4,Online,2023-01-09,88
GER,Centro 3,In-person,2023-01-09,88
INF,Centro 4,In-person,2023-01-09,78
TUR,Centro 2,In-person,2023-01-09,67
PYT,Centro 1,Online,2023-01-09,66
PBI,Centro 3,In-person,2023-01-09,64
GES,Centro 4,In-person,2023-01-09,57
EXC,Centro 5,Online,2023-01-09,56
FOR,Centro 1,In-person,2023-01-09,56
GER,Centro 4,In-person,2023-01-09,53
SCI,Centro 5,In-person,2023-01-09,51
PYT,Centro 3,In-person,2023-01-09,50
FOR,Centro 2,Hybrid,2023-01-09,49
HOT,Centro 3,Hybrid,2023-01-09,49
CYB,Centro 5,In-person,2023-01-09,47
TUR,Centro 5,In-person,2023-01-09,47
SCI,Centro 2,Hybrid,2023-01-09,43
SST,Centro 3,Hybrid,2023-01-09,43
PRO,Centro 3,In-person,2023-01-09,42
EXC,Centro 4,Online,2023-01-09,39
SEG,Centro 1,In-person,2023-01-09,39
VND,Centro 3,Hybrid,2023-01-09,33
INF,Centro 3,Hybrid,2023-01-09,32
HOT,Centro 1,In-person,2023-01-09,31
LID,Centro 3,In-person,2023-01-09,31
PRI,Centro 5,In-person,2023-01-09,31
PYT,Centro 1,Hybrid,2023-01-09,30
HAC,Centro 4,Online,2023-01-09,29
CYB,Centro 3,Hybrid,2023-01-09,28
SEG,Centro 4,In-person,2023-01-09,28
VND,Centro 2,Hybrid,2023-01-09,27
HOT,Centro 5,Hybrid,2023-01-09,26
MNT,Centro 5,In-person,2023-01-09,25
SCI,Centro 2,In-person,2023-01-09,25
GES,Centro 5,Online,2023-01-09,24
HAC,Centro 3,Online,2023-01-09,24
SST,Centro 2,Hybrid,2023-01-09,23
SST,Centro 2,In-person,2023-01-09,23
GES,Centro 1,In-person,2023-01-09,19
FOR,Centro 2,In-person,2023-01-09,18
SOC,Centro 1,In-person,2023-01-09,17
HAC,Centro 2,Online,2023-01-09,16
TUR,Centro 4,Hybrid,2023-01-09,16
PBI,Centro 3,Online,2023-01-09,15
PRO,Centro 2,Hybrid,2023-01-09,15
SST,Centro 5,Hybrid,2023-01-09,15
SST,Centro 5,In-person,2023-01-09,15
VND,Centro 4,Online,2023-01-09,15
VND,Centro 3,In-person,2023-01-09,14
FOR,Centro 5,Online,2023-01-09,12
LID,Centro 1,Hybrid,2023-01-09,11
SST,Centro 1,Online,2023-01-09,11
FOR,Centro 4,In-person,2023-01-09,10
HOT,Centro 5,In-person,2023-01-09,10
INF,Centro 3,In-person,2023-01-09,10
LOG,Centro 1,Hybrid,2023-01-09,10
LOG,Centro 3,Hybrid,2023-01-09,10
SEG,Centro 3,In-person,2023-01-09,10
GER,Centro 4,Hybrid,2023-01-09,9
HAC,Centro 1,In-person,2023-01-09,9
SCI,Centro 3,In-person,2023-01-09,9
SEG,Centro 2,Hybrid,2023-01-09,9
