course_id,local,modality,date,total_sales
FOR,Centro 2,Hybrid,2023-01-02,20
EXC,Centro 4,Online,2023-01-02,18
LOG,Centro 4,In-person,2023-01-02,15
GES,Centro 4,Online,2023-01-02,14
GES,Centro 4,Hybrid,2023-01-02,14
HAC,Centro 5,In-person,2023-01-02,14
LOG,Centro 1,Hybrid,2023-01-02,14
PYT,Centro 1,Online,2023-01-02,14
SEG,Centro 4,In-person,2023-01-02,12
TUR,Centro 2,In-person,2023-01-02,12
CYB,Centro 3,Online,2023-01-02,11
CYB,Centro 5,In-person,2023-01-02,11
EMP,Centro 4,In-person,2023-01-02,11
FOR,Centro 4,Online,2023-01-02,11
PBI,Centro 2,Online,2023-01-02,11
PYT,Centro 4,Hybrid,2023-01-02,11
SST,Centro 4,Hybrid,2023-01-02,11
EXC,Centro 3,In-person,2023-01-02,9
EXC,Centro 5,Online,2023-01-02,9
GER,Centro 3,In-person,2023-01-02,9
HCP,Centro 4,In-person,2023-01-02,9
HCP,Centro 5,Hybrid,2023-01-02,9
LOG,Centro 3,In-person,2023-01-02,9
MNT,Centro 1,In-person,2023-01-02,9
MNT,Centro 4,In-person,2023-01-02,9
SEG,Centro 1,In-person,2023-01-02,9
SST,Centro 3,In-person,2023-01-02,9
CYB,Centro 1,In-person,2023-01-02,8
CYB,Centro 2,Hybrid,2023-01-02,8
GER,Centro 1,In-person,2023-01-02,8
HCP,Centro 5,In-person,2023-01-02,8
HOT,Centro 5,In-person,2023-01-02,8
LID,Centro 5,Online,2023-01-02,8
MNT,Centro 3,In-person,2023-01-02,8
SEG,Centro 5,In-person,2023-01-02,8
SST,Centro 3,Hybrid,2023-01-02,8
SST,Centro 5,In-person,2023-01-02,8
VND,Centro 5,Online,2023-01-02,8
CYB,Centro 2,Online,2023-01-02,6
EXC,Centro 1,Online,2023-01-02,6
FOR,Centro 1,In-person,2023-01-02,6
GER,Centro 2,In-person,2023-01-02,6
HAC,Centro 3,In-person,2023-01-02,6
HAC,Centro 5,Online,2023-01-02,6
HAC,Centro 5,Hybrid,2023-01-02,6
HCP,Centro 1,In-person,2023-01-02,6
HOT,Centro 3,Hybrid,2023-01-02,6
INF,Centro 1,Hybrid,2023-01-02,6
ING,Centro 5,Hybrid,2023-01-02,6
LOG,Centro 4,Hybrid,2023-01-02,6
MNT,Centro 5,In-person,2023-01-02,6
PBI,Centro 2,Hybrid,2023-01-02,6
PBI,Centro 4,Hybrid,2023-01-02,6
PBI,Centro 4,In-person,2023-01-02,6
PRO,Centro 1,Hybrid,2023-01-02,6
PYT,Centro 4,Online,2023-01-02,6
SCI,Centro 1,In-person,2023-01-02,6
SEG,Centro 3,In-person,2023-01-02,6
SEG,Centro 5,Online,2023-01-02,6
SOC,Centro 2,In-person,2023-01-02,6
SST,Centro 5,Online,2023-01-02,6
SST,Centro 5,Hybrid,2023-01-02,6
TUR,Centro 1,Hybrid,2023-01-02,6
VND,Centro 3,Online,2023-01-02,6
EMP,Centro 3,In-person,2023-01-02,5
EXC,Centro 4,In-person,2023-01-02,5
GES,Centro 1,Hybrid,2023-01-02,5
GES,Centro 5,Online,2023-01-02,5
HAC,Centro 1,Hybrid,2023-01-02,5
HOT,Centro 2,In-person,2023-01-02,5
HOT,Centro 5,Hybrid,2023-01-02,5
ING,Centro 1,Online,2023-01-02,5
ING,Centro 2,Hybrid,2023-01-02,5
ING,Centro 3,Hybrid,2023-01-02,5
LID,Centro 2,Hybrid,2023-01-02,5
LID,Centro 2,In-person,2023-01-02,5
LID,Centro 4,Online,2023-01-02,5
LOG,Centro 2,In-person,2023-01-02,5
LOG,Centro 3,Hybrid,2023-01-02,5
LOG,Centro 5,In-person,2023-01-02,5
PBI,Centro 1,Online,2023-01-02,5
PRI,Centro 3,In-person,2023-01-02,5
PRI,Centro 4,In-person,2023-01-02,5
PRO,Centro 3,In-person,2023-01-02,5
PRO,Centro 4,Online,2023-01-02,5
PRO,Centro 5,Online,2023-01-02,5
PYT,Centro 2,Hybrid,2023-01-02,5
SCI,Centro 1,Hybrid,2023-01-02,5
SCI,Centro 3,Hybrid,2023-01-02,5
SCI,Centro 3,In-person,2023-01-02,5
SEG,Centro 1,Hybrid,2023-01-02,5
SEG,Centro 4,Hybrid,2023-01-02,5
SEG,Centro 5,Hybrid,2023-01-02,5
SOC,Centro 1,Hybrid,2023-01-02,5
SOC,Centro 5,Hybrid,2023-01-02,5
SST,Centro 1,In-person,2023-01-02,5
VND,Centro 3,Hybrid,2023-01-02,5
CYB,Centro 3,Hybrid,2023-01-02,3
