trainer_id,course_id
1,CYB
1,PBI
2,CYB
2,PBI
3,GER
3,HAC
4,GER
4,HAC
4,HCP
5,CYB
5,PYT
6,EXC
6,PBI
7,GER
7,HAC
8,EXC
9,PBI
9,PYT
10,PBI
11,LOG
11,MNT
12,CYB
12,PBI
13,PRI
13,SEG
13,SST
14,EXC
14,PYT
15,LOG
15,MNT
16,GER
16,HAC
17,PRO
17,VND
18,FOR
18,PRO
19,FOR
20,FOR
20,PRO
20,VND
21,LID
21,PRO
22,PYT
23,ING
23,TUR
24,EMP
24,SEG
25,MNT
26,PRI
26,SCI
27,PRI
27,SST
28,EXC
28,PBI
29,HOT
30,HOT
30,ING
30,TUR
31,LID
32,FOR
32,GES
32,PRO
33,EMP
33,SEG
34,ING
35,GER
35,HCP
36,EMP
36,SEG
37,FOR
37,LID
38,SEG
38,SST
39,LOG
40,GER
40,HAC
41,LOG
41,MNT
42,GES
42,LID
43,PYT
44,HOT
44,ING
45,EMP
45,SST
46,LOG
46,MNT
47,HCP
47,INF
48,FOR
48,VND
49,SOC
50,GES
50,PRO
51,LID
52,HCP
52,INF
53,SCI
53,SST
54,FOR
54,GES
55,SOC
55,SST
56,HOT
56,ING
56,TUR
57,EMP
57,PRI
58,ING
58,TUR
59,FOR
59,VND
60,SCI
61,EMP
62,INF
63,SCI
63,SST
64,GER
64,HCP
65,HCP
65,INF
66,SOC
67,EMP
67,PRI
68,SOC
69,TUR
70,SOC
71,SCI
72,FOR
72,GES
72,VND
73,GER
73,HAC
73,INF
74,CYB
74,EXC
74,PYT
75,CYB
75,PBI
76,LID
76,VND
77,CYB
77,EXC
77,PBI
78,PRI
79,HAC
79,HCP
80,LOG
80,MNT
81,LOG
81,MNT
82,GES
82,PRO
83,EMP
83,SCI
84,LID
84,VND
85,GES
85,PRO
86,INF
87,HOT
87,ING
88,SEG
88,SOC
88,SST
89,HOT
89,ING
89,TUR
90,HOT
90,ING
91,CYB
91,PBI
92,CYB
93,EXC
93,PBI
93,PYT
94,GER
94,HAC
95,EXC
96,PBI
96,PYT
97,LOG
97,MNT
98,CYB
98,PBI
98,PYT
99,PRO
100,FOR
100,GES
100,PRO
101,LID
102,EMP
102,PRI
102,SCI
103,EMP
103,PRI
104,PBI
104,PYT
105,FOR
105,LID
105,PRO
106,EMP
106,SEG
106,SST
107,EXC
107,PBI
108,HAC
109,GER
109,HAC
110,CYB
110,EXC
110,PYT
111,GER
111,INF
112,ING
113,PRI
113,SCI
113,SEG
114,HOT
114,ING
115,LID
115,PRO
116,FOR
116,GES
116,VND
117,PRI
117,SST
118,GER
118,HAC
119,ING
119,TUR
120,MNT
121,PRO
121,VND
122,EMP
122,SST
123,LOG
123,MNT
124,GER
124,HCP
124,INF
125,LOG
125,MNT
126,PRI
126,SEG
126,SOC
127,GES
127,LID
128,HCP
128,INF
129,VND
130,PRI
130,SCI
131,FOR
131,GES
132,ING
132,TUR
133,HOT
133,TUR
134,PRI
134,SEG
135,ING
135,TUR
136,HCP
137,HAC
138,FOR
138,VND
139,PRI
139,SCI
140,HOT
140,TUR
141,SCI
142,GER
142,INF
143,HCP
144,GER
144,HCP
144,INF
145,PRI
145,SOC
146,SOC
146,SST
147,SOC
148,EMP
148,SCI
149,FOR
149,GES
150,CYB
150,PBI
151,CYB
151,PBI
152,EXC
153,EXC
153,PYT
154,LOG
155,CYB
155,PYT
156,FOR
156,GES
156,VND
157,LID
157,PRO
158,CYB
158,PBI
159,SEG
160,HOT
160,ING
161,SEG
162,EXC
163,HAC
164,GER
164,HAC
165,GER
166,SST
167,EXC
168,HAC
168,HCP
169,LOG
169,MNT
170,LOG
171,LID
172,GES
172,PRO
173,EMP
174,LID
174,VND
175,MNT
176,INF
177,SCI
178,INF
179,ING
180,VND
181,SOC
182,HOT
183,PBI
