trainer_id,local
1,Centro 4
2,Centro 2
3,Centro 5
4,Centro 2
5,Centro 5
6,Centro 4
7,Centro 3
8,Centro 2
8,Centro 3
9,Centro 2
10,Centro 1
11,Centro 1
12,Centro 1
12,Centro 3
13,Centro 2
13,Centro 5
14,Centro 1
15,Centro 2
16,Centro 4
17,Centro 2
18,Centro 4
19,Centro 2
20,Centro 1
20,Centro 3
21,Centro 3
22,Centro 4
23,Centro 3
24,Centro 1
25,Centro 3
25,Centro 5
26,Centro 1
27,Centro 3
28,Centro 5
29,Centro 2
30,Centro 5
31,Centro 4
32,Centro 4
33,Centro 3
34,Centro 2
35,Centro 1
36,Centro 4
37,Centro 5
38,Centro 4
39,Centro 4
40,Centro 1
40,Centro 2
41,Centro 3
41,Centro 4
42,Centro 2
43,Centro 3
44,Centro 1
45,Centro 1
46,Centro 5
47,Centro 3
48,Centro 4
49,Centro 3
50,Centro 5
51,Centro 1
52,Centro 2
52,Centro 5
53,Centro 3
54,Centro 1
55,Centro 2
56,Centro 3
56,Centro 4
57,Centro 4
58,Centro 2
59,Centro 5
60,Centro 2
61,Centro 5
62,Centro 4
63,Centro 5
64,Centro 4
65,Centro 1
66,Centro 5
67,Centro 2
68,Centro 4
69,Centro 1
70,Centro 1
71,Centro 4
72,Centro 3
73,Centro 5
74,Centro 5
75,Centro 3
76,Centro 2
77,Centro 3
78,Centro 5
79,Centro 1
79,Centro 3
80,Centro 2
80,Centro 4
81,Centro 3
82,Centro 5
83,Centro 3
84,Centro 1
84,Centro 2
85,Centro 1
86,Centro 2
87,Centro 5
88,Centro 2
88,Centro 3
89,Centro 1
90,Centro 4
91,Centro 4
92,Centro 2
93,Centro 4
94,Centro 3
95,Centro 2
96,Centro 2
97,Centro 1
98,Centro 1
99,Centro 2
100,Centro 2
101,Centro 3
102,Centro 1
103,Centro 3
104,Centro 3
104,Centro 5
105,Centro 1
105,Centro 5
106,Centro 4
106,Centro 5
107,Centro 1
108,Centro 5
109,Centro 2
110,Centro 3
110,Centro 5
111,Centro 5
112,Centro 1
112,Centro 3
113,Centro 1
114,Centro 2
115,Centro 4
116,Centro 4
117,Centro 5
118,Centro 1
119,Centro 5
120,Centro 4
121,Centro 3
122,Centro 1
122,Centro 2
123,Centro 2
123,Centro 5
124,Centro 3
125,Centro 3
126,Centro 2
127,Centro 5
128,Centro 2
129,Centro 1
130,Centro 3
131,Centro 1
132,Centro 3
133,Centro 4
134,Centro 4
135,Centro 2
136,Centro 5
137,Centro 4
138,Centro 5
139,Centro 2
140,Centro 3
141,Centro 5
142,Centro 4
143,Centro 4
144,Centro 1
145,Centro 5
146,Centro 4
147,Centro 1
148,Centro 4
149,Centro 3
150,Centro 4
151,Centro 2
152,Centro 4
153,Centro 2
154,Centro 1
155,Centro 1
155,Centro 4
156,Centro 2
157,Centro 3
158,Centro 5
159,Centro 3
160,Centro 1
161,Centro 5
162,Centro 1
162,Centro 3
163,Centro 5
164,Centro 2
165,Centro 5
166,Centro 3
167,Centro 5
168,Centro 2
168,Centro 3
169,Centro 4
170,Centro 3
171,Centro 2
172,Centro 1
172,Centro 5
173,Centro 3
174,Centro 1
175,Centro 2
176,Centro 2
177,Centro 3
178,Centro 5
179,Centro 5
180,Centro 3
181,Centro 2
182,Centro 4
183,Centro 4
