action_id,course_id,local,start_date,end_date,modality,status,total_students
P_HCP_0001,HCP,Centro 1,2018-01-01,2018-01-02,In-person,Finalizada,11
P_INF_0001,INF,Centro 1,2018-01-01,2018-01-03,In-person,Finalizada,11
P_PRI_0001,PRI,Centro 1,2018-01-01,2018-01-03,In-person,Finalizada,15
H_TUR_0004,TUR,Centro 5,2018-01-01,2018-01-05,Hybrid,Finalizada,20
H_INF_0005,INF,Centro 5,2018-01-01,2018-01-06,Hybrid,Finalizada,20
E_PBI_0004,PBI,Centro 3,2018-01-01,2018-01-10,Online,Finalizada,21
E_PBI_0001,PBI,Centro 3,2018-01-01,2018-01-12,Online,Finalizada,31
H_FOR_0001,FOR,Centro 3,2018-01-01,2018-01-19,Hybrid,Finalizada,27
P_EMP_0001,EMP,Centro 5,2018-01-02,2018-01-04,In-person,Finalizada,14
H_GER_0001,GER,Centro 1,2018-01-02,2018-01-13,Hybrid,Finalizada,16
H_GER_0003,GER,Centro 5,2018-01-02,2018-01-13,Hybrid,Finalizada,21
P_HAC_0002,HAC,Centro 2,2018-01-03,2018-01-04,In-person,Finalizada,14
P_SCI_0002,SCI,Centro 4,2018-01-03,2018-01-05,In-person,Finalizada,18
H_PRO_0002,PRO,Centro 4,2018-01-03,2018-01-09,Hybrid,Finalizada,17
E_ING_0002,ING,Centro 3,2018-01-03,2018-01-13,Online,Finalizada,22
P_EXC_0004,EXC,Centro 5,2018-01-08,2018-01-10,In-person,Finalizada,23
P_LID_0002,LID,Centro 2,2018-01-08,2018-01-11,In-person,Finalizada,18
H_EXC_0001,EXC,Centro 2,2018-01-08,2018-01-12,Hybrid,Finalizada,26
P_HOT_0001,HOT,Centro 1,2018-01-08,2018-01-12,In-person,Finalizada,22
H_LOG_0002,LOG,Centro 5,2018-01-08,2018-01-12,Hybrid,Finalizada,17
H_GES_0001,GES,Centro 4,2018-01-08,2018-01-13,Hybrid,Finalizada,21
H_INF_0003,INF,Centro 1,2018-01-08,2018-01-13,Hybrid,Finalizada,22
H_HOT_0002,HOT,Centro 3,2018-01-08,2018-01-14,Hybrid,Finalizada,23
P_GER_0002,GER,Centro 1,2018-01-08,2018-01-16,In-person,Finalizada,15
E_ING_0001,ING,Centro 3,2018-01-08,2018-01-19,Online,Finalizada,33
E_CYB_0001,CYB,Centro 1,2018-01-10,2018-01-18,Online,Finalizada,21
P_PRI_0002,PRI,Centro 1,2018-01-11,2018-01-13,In-person,Finalizada,10
H_PBI_0005,PBI,Centro 4,2018-01-11,2018-01-16,Hybrid,Finalizada,20
P_HAC_0004,HAC,Centro 3,2018-01-15,2018-01-16,In-person,Finalizada,21
P_INF_0002,INF,Centro 1,2018-01-15,2018-01-17,In-person,Finalizada,11
H_PRI_0003,PRI,Centro 3,2018-01-15,2018-01-17,Hybrid,Finalizada,24
H_INF_0004,INF,Centro 3,2018-01-15,2018-01-18,Hybrid,Finalizada,18
H_SCI_0001,SCI,Centro 4,2018-01-15,2018-01-18,Hybrid,Finalizada,24
H_TUR_0003,TUR,Centro 3,2018-01-15,2018-01-18,Hybrid,Finalizada,26
H_HCP_0002,HCP,Centro 1,2018-01-15,2018-01-19,Hybrid,Finalizada,21
E_HAC_0006,HAC,Centro 5,2018-01-15,2018-01-20,Online,Finalizada,25
P_GER_0004,GER,Centro 5,2018-01-15,2018-01-23,In-person,Finalizada,18
E_PBI_0002,PBI,Centro 3,2018-01-15,2018-01-25,Online,Finalizada,18
E_PBI_0003,PBI,Centro 3,2018-01-15,2018-01-25,Online,Finalizada,25
P_LID_0003,LID,Centro 4,2018-01-16,2018-01-18,In-person,Finalizada,19
E_VND_0001,VND,Centro 4,2018-01-16,2018-01-23,Online,Finalizada,23
P_PRI_0004,PRI,Centro 4,2018-01-17,2018-01-18,In-person,Finalizada,20
H_SEG_0002,SEG,Centro 1,2018-01-17,2018-01-19,Hybrid,Finalizada,18
H_FOR_0002,FOR,Centro 5,2018-01-17,2018-02-05,Hybrid,Finalizada,30
P_HAC_0001,HAC,Centro 1,2018-01-22,2018-01-23,In-person,Finalizada,15
P_HAC_0005,HAC,Centro 5,2018-01-22,2018-01-23,In-person,Finalizada,12
P_EXC_0002,EXC,Centro 2,2018-01-22,2018-01-24,In-person,Finalizada,17
H_HAC_0003,HAC,Centro 3,2018-01-22,2018-01-24,Hybrid,Finalizada,19
E_SEG_0003,SEG,Centro 5,2018-01-22,2018-01-25,Online,Finalizada,23
P_SST_0001,SST,Centro 3,2018-01-22,2018-01-25,In-person,Finalizada,15
P_TUR_0001,TUR,Centro 1,2018-01-22,2018-01-25,In-person,Finalizada,14
E_SEG_0001,SEG,Centro 1,2018-01-22,2018-01-27,Online,Finalizada,22
E_EXC_0003,EXC,Centro 3,2018-01-22,2018-01-29,Online,Finalizada,29
P_SEG_0004,SEG,Centro 5,2018-01-23,2018-01-24,In-person,Finalizada,18
P_SOC_0001,SOC,Centro 3,2018-01-23,2018-01-25,In-person,Finalizada,19
H_LOG_0001,LOG,Centro 4,2018-01-23,2018-01-26,Hybrid,Finalizada,20
P_PYT_0001,PYT,Centro 4,2018-01-23,2018-01-27,In-person,Finalizada,16
P_TUR_0002,TUR,Centro 2,2018-01-29,2018-01-31,In-person,Finalizada,23
P_MNT_0001,MNT,Centro 2,2018-01-29,2018-02-01,In-person,Cancelada,5
P_SST_0002,SST,Centro 4,2018-01-29,2018-02-01,In-person,Finalizada,19
H_PRO_0001,PRO,Centro 2,2018-01-29,2018-02-03,Hybrid,Finalizada,18
E_FOR_0003,FOR,Centro 5,2018-01-29,2018-03-02,Online,Finalizada,29
H_LID_0001,LID,Centro 2,2018-01-30,2018-02-03,Hybrid,Cancelada,1
P_HAC_0007,HAC,Centro 1,2018-02-05,2018-02-06,In-person,Finalizada,19
H_SEG_0009,SEG,Centro 4,2018-02-05,2018-02-06,Hybrid,Finalizada,22
P_EMP_0006,EMP,Centro 3,2018-02-05,2018-02-07,In-person,Finalizada,12
P_EMP_0002,EMP,Centro 1,2018-02-05,2018-02-08,In-person,Finalizada,19
H_HAC_0010,HAC,Centro 4,2018-02-05,2018-02-08,Hybrid,Finalizada,22
H_HCP_0005,HCP,Centro 5,2018-02-05,2018-02-08,Hybrid,Finalizada,30
P_HOT_0004,HOT,Centro 4,2018-02-05,2018-02-08,In-person,Finalizada,23
P_INF_0007,INF,Centro 4,2018-02-05,2018-02-08,In-person,Finalizada,15
P_SOC_0006,SOC,Centro 5,2018-02-05,2018-02-08,In-person,Finalizada,16
H_HOT_0005,HOT,Centro 4,2018-02-05,2018-02-09,Hybrid,Finalizada,25
P_HOT_0006,HOT,Centro 5,2018-02-05,2018-02-09,In-person,Finalizada,13
P_MNT_0003,MNT,Centro 3,2018-02-05,2018-02-09,In-person,Cancelada,6
H_PRI_0008,PRI,Centro 5,2018-02-05,2018-02-09,Hybrid,Finalizada,23
E_SEG_0006,SEG,Centro 2,2018-02-05,2018-02-09,Online,Finalizada,21
H_LID_0006,LID,Centro 5,2018-02-05,2018-02-10,Hybrid,Finalizada,14
E_EXC_0005,EXC,Centro 2,2018-02-05,2018-02-13,Online,Finalizada,17
E_EXC_0007,EXC,Centro 4,2018-02-05,2018-02-14,Online,Finalizada,26
H_GER_0006,GER,Centro 5,2018-02-05,2018-02-16,Hybrid,Finalizada,18
P_HCP_0008,HCP,Centro 5,2018-02-06,2018-02-07,In-person,Finalizada,12
P_EMP_0008,EMP,Centro 5,2018-02-06,2018-02-09,In-person,Finalizada,17
P_EXC_0009,EXC,Centro 5,2018-02-06,2018-02-09,In-person,Finalizada,12
P_SOC_0002,SOC,Centro 1,2018-02-06,2018-02-09,In-person,Finalizada,21
H_ING_0004,ING,Centro 4,2018-02-06,2018-02-11,Hybrid,Finalizada,22
H_PYT_0004,PYT,Centro 2,2018-02-06,2018-02-12,Hybrid,Finalizada,17
