course_id,course_name,course_area,local,actions_monthly_avg_last_12m,actions_monthly_avg_historical,training_hours_monthly_avg_last_12m,training_hours_monthly_avg_historical,actions_monthly_trend_last_12m,actions_monthly_trend_historical,median_days_between_actions_last_12m,median_days_between_actions_historical,active_month_ratio_last_12m,active_month_ratio_historical,peak_concurrent_actions_last_12m,peak_concurrent_actions_historical,active_action_days_last_12m,active_action_days_historical,simultaneous_action_days_last_12m,simultaneous_action_days_historical,pct_simultaneous_action_days_last_12m,pct_simultaneous_action_days_historical,actions_volume_last_12m_score,actions_volume_historical_score,actions_growth_last_12m_score,actions_growth_historical_score,actions_recurrence_last_12m_score,actions_recurrence_historical_score,actions_regularity_last_12m_score,actions_regularity_historical_score,actions_simultaneity_last_12m_score,actions_simultaneity_historical_score,actions_last_12m_score,actions_historical_score,actions_volume_score,actions_growth_score,actions_recurrence_score,actions_regularity_score,actions_simultaneity_score,actions_volume_contribution,actions_growth_contribution,actions_recurrence_contribution,actions_regularity_contribution,actions_simultaneity_contribution,actions_base_score,actions_pressure_tier,actions_main_pressure_driver,actions_priority_rank
PBI,Power BI e Visualização de Dados,Informática,Centro 2,5.67,2.23,141.67,55.83,0.19,0.04,6.0,8.0,1.0,0.8,7,5,278,1062,147,364,52.9,34.3,97.92,94.58,82.08,98.75,97.5,100.0,91.25,92.08,98.33,94.38,94.25,95.47,96.58,88.75,98.5,91.58,96.75,24.15,13.31,14.77,18.32,24.19,94.74,High,Simultaneity,1
CYB,Cibersegurança Básica,Informática,Centro 4,5.0,2.34,80.0,37.51,0.36,0.04,6.0,9.0,1.0,0.89,4,4,208,931,102,222,49.0,23.8,92.92,92.08,99.17,98.75,97.5,99.17,91.25,99.17,86.46,81.04,92.59,92.8,92.58,99.0,98.17,94.42,84.29,23.15,14.85,14.72,18.88,21.07,92.68,High,Volume,2
PBI,Power BI e Visualização de Dados,Informática,Centro 4,5.42,2.31,135.42,57.78,0.12,0.05,6.5,11.5,1.0,0.86,11,7,250,1072,112,376,44.8,35.1,96.67,95.83,59.58,100.0,93.33,96.25,91.25,96.67,96.25,98.75,89.42,97.42,96.33,75.75,94.5,93.42,97.25,24.08,11.36,14.18,18.68,24.31,92.62,High,Simultaneity,3
GER,Geriatria e Apoio ao Idoso,Saúde,Centro 3,3.58,2.0,179.17,100.0,0.19,0.02,7.0,12.0,1.0,0.8,5,6,248,1134,97,390,39.1,34.4,94.58,95.42,82.08,71.25,82.08,93.33,91.25,92.08,88.54,97.29,88.66,91.28,94.92,77.75,86.58,91.58,92.04,23.73,11.66,12.99,18.32,23.01,89.71,High,Volume,4
EXC,Excel Aplicado à Gestão,Informática,Centro 4,4.42,1.94,88.33,38.89,0.24,0.03,6.0,10.0,0.92,0.81,4,4,213,881,95,211,44.6,24.0,92.92,89.58,90.83,92.5,97.5,98.33,71.67,93.75,84.79,81.46,87.01,90.14,91.58,91.5,97.83,80.5,83.46,22.9,13.72,14.68,16.1,20.86,88.26,High,Volume,5
PYT,Introdução à Programação em Python,Informática,Centro 2,3.92,1.72,117.5,51.67,0.05,0.03,6.0,12.0,1.0,0.74,5,5,230,932,100,277,43.5,29.7,93.33,89.58,37.08,92.5,97.5,93.33,91.25,82.92,91.88,93.12,84.74,90.14,91.83,59.25,95.83,87.92,92.38,22.96,8.89,14.38,17.58,23.09,86.9,High,Simultaneity,6
CYB,Cibersegurança Básica,Informática,Centro 2,4.08,2.3,65.33,36.8,0.32,0.03,7.0,11.5,0.83,0.84,5,6,179,873,69,227,38.5,26.0,87.08,90.83,96.67,92.5,82.08,96.25,47.08,95.83,88.12,94.79,80.03,93.89,88.58,95.0,87.75,66.58,90.79,22.15,14.25,13.16,13.32,22.7,85.57,High,Simultaneity,7
PBI,Power BI e Visualização de Dados,Informática,Centro 3,3.25,1.57,81.25,39.17,0.19,0.03,7.0,12.5,0.92,0.7,4,6,185,793,91,214,49.2,27.0,87.5,85.21,82.08,92.5,82.08,90.83,71.67,67.5,86.88,95.21,82.55,86.1,86.58,86.25,85.58,70.0,90.21,21.65,12.94,12.84,14.0,22.55,83.97,High,Simultaneity,8
SST,Saúde e Segurança no Trabalho,Segurança,Centro 5,3.33,2.09,53.33,33.42,0.34,0.03,8.0,13.0,1.0,0.79,3,4,150,723,38,150,25.3,20.7,79.38,87.92,97.92,92.5,68.75,87.08,91.25,89.58,57.71,79.38,77.52,86.68,82.79,95.75,76.08,90.58,66.38,20.7,14.36,11.41,18.12,16.59,81.18,High,Volume,9
CYB,Cibersegurança Básica,Informática,Centro 1,4.83,1.44,77.33,23.11,0.14,0.03,6.0,13.0,1.0,0.7,4,4,230,663,93,97,40.4,14.6,91.67,68.33,65.0,92.5,97.5,87.08,91.25,67.5,81.46,66.25,85.91,74.08,82.33,76.0,93.33,81.75,75.38,20.58,11.4,14.0,16.35,18.84,81.18,High,Volume,10
