course_id,course_name,course_area,local,total_leads_last_13w,total_leads_historical,total_sales_last_13w,total_sales_historical,avg_leads_last_13w,avg_leads_historical,avg_sales_last_13w,avg_sales_historical,total_conversion_rate_last_13w,total_conversion_rate_historical,avg_conversion_rate_last_13w,avg_conversion_rate_historical,pct_with_leads_last_13w,pct_with_leads_historical,pct_with_sales_last_13w,pct_with_sales_historical,leads_weekly_change_avg_last_13w,leads_weekly_change_avg_historical,sales_weekly_change_avg_last_13w,sales_weekly_change_avg_historical,commercial_volume_last_13w_score,commercial_volume_historical_score,commercial_conversion_last_13w_score,commercial_conversion_historical_score,commercial_regularity_last_13w_score,commercial_regularity_historical_score,commercial_growth_last_13w_score,commercial_growth_historical_score,commercial_last_13w_score,commercial_historical_score,commercial_volume_score,commercial_conversion_score,commercial_regularity_score,commercial_growth_score,commercial_volume_contribution,commercial_conversion_contribution,commercial_regularity_contribution,commercial_growth_contribution,commercial_base_score,commercial_pressure_tier,commercial_main_pressure_driver,commercial_priority_rank
EXC,Excel Aplicado à Gestão,Informática,Centro 4,774,9133,278,3162,59.54,52.79,21.38,18.28,35.92,34.62,35.73,33.89,100.0,85.55,100.0,85.55,-3.54,0.1,-1.15,-0.01,94.17,95.83,95.42,93.75,95.42,92.5,0.0,22.92,80.67,83.54,94.83,94.75,94.25,9.17,33.19,23.69,23.56,1.37,81.82,High,Volume,1
PRI,Primeiros Socorros,Saúde e Segurança,Centro 1,508,6562,176,2226,39.08,37.93,13.54,12.87,34.65,33.92,34.26,33.39,84.62,80.92,84.62,80.35,4.0,0.2,1.46,0.06,76.04,82.5,86.67,88.54,71.25,83.75,93.75,62.08,80.16,81.26,78.62,87.42,76.25,81.08,27.52,21.85,19.06,12.16,80.6,High,Volume,2
EXC,Excel Aplicado à Gestão,Informática,Centro 1,562,6173,189,2004,43.23,35.68,14.54,11.58,33.63,32.46,37.39,32.34,100.0,75.72,100.0,75.72,2.0,0.14,0.62,0.05,80.83,75.83,86.25,74.17,95.42,69.79,90.21,53.33,87.24,70.53,78.83,81.42,85.17,75.46,27.59,20.35,21.29,11.32,80.56,High,Volume,3
PBI,Power BI e Visualização de Dados,Informática,Centro 2,1347,11878,438,3751,103.62,68.66,33.69,21.68,32.52,31.58,37.41,31.05,100.0,84.39,100.0,84.39,-3.62,0.31,-1.23,0.08,98.75,98.33,78.33,61.67,95.42,90.0,0.0,70.21,78.0,82.86,98.58,71.67,93.25,28.08,34.5,17.92,23.31,4.21,79.95,High,Volume,4
PBI,Power BI e Visualização de Dados,Informática,Centro 4,954,13260,316,4282,73.38,76.65,24.31,24.75,33.12,32.29,33.02,32.11,92.31,94.22,92.31,94.22,-5.54,0.35,-1.77,0.1,97.08,99.58,70.0,71.67,84.17,100.0,0.0,77.29,72.52,89.36,98.08,70.67,90.5,30.92,34.33,17.67,22.62,4.64,79.26,High,Volume,5
EXC,Excel Aplicado à Gestão,Informática,Centro 2,610,8270,211,2827,46.92,47.8,16.23,16.34,34.59,34.18,33.53,32.73,92.31,87.28,92.31,86.71,-8.77,0.66,-3.08,0.23,84.17,92.5,80.83,85.21,84.17,94.17,0.0,94.79,70.71,91.44,87.5,82.58,88.17,37.92,30.62,20.65,22.04,5.69,79.0,High,Volume,6
HAC,Higiene e Segurança Alimentar,Alimentar,Centro 5,641,6162,224,2123,49.31,35.62,17.23,12.27,34.95,34.45,33.66,33.19,92.31,76.88,92.31,76.88,1.08,-0.33,0.38,-0.15,86.04,77.92,84.79,90.42,84.17,72.5,85.62,0.0,85.2,68.0,82.79,87.04,79.5,51.38,28.98,21.76,19.88,7.71,78.32,High,Volume,7
PRI,Primeiros Socorros,Saúde e Segurança,Centro 3,678,6663,233,2205,52.15,38.51,17.92,12.75,34.37,33.09,34.15,33.16,92.31,85.55,92.31,85.55,-2.08,0.48,-0.69,0.16,88.33,82.5,84.17,83.75,84.17,92.5,0.0,87.29,73.0,86.03,86.0,84.0,87.5,34.92,30.1,21.0,21.88,5.24,78.21,High,Volume,8
SEG,Segurança no Trabalho,Segurança,Centro 5,749,6947,251,2285,57.62,40.16,19.31,13.21,33.51,32.89,32.69,32.47,92.31,78.61,92.31,78.61,-11.23,0.65,-3.92,0.2,91.67,85.83,70.0,77.08,84.17,77.08,0.0,92.5,70.62,82.46,89.33,72.83,81.33,37.0,31.27,18.21,20.33,5.55,75.36,High,Volume,9
LOG,Logística e Gestão de Armazém,Logística,Centro 5,792,6031,257,1946,60.92,34.86,19.77,11.25,32.45,32.27,32.26,32.4,100.0,82.66,100.0,83.24,-2.46,0.3,-0.85,0.09,94.17,73.33,58.54,72.5,95.42,86.46,0.0,70.42,71.45,75.97,85.83,64.12,91.83,28.17,30.04,16.03,22.96,4.23,73.26,Upper-middle,Volume,10
