course_id,course_name,course_area,local,trainer_count,pct_multicourse_trainers,pct_mobile_trainers,relative_scarcity_score,relative_scarcity_contribution,course_sharing_contribution,location_sharing_contribution,workforce_base_score,workforce_score_percentile,workforce_vulnerability_tier,workforce_main_risk_driver,workforce_base_priority_rank
HOT,Housekeeping e Operações Hoteleiras,Turismo,Centro 3,2,100.0,50.0,86.7,52.0,20.0,10.0,82.0,97.9,High,Trainer scarcity,1
TUR,Atendimento Turístico,Turismo,Centro 4,2,100.0,50.0,86.7,52.0,20.0,10.0,82.0,97.9,High,Trainer scarcity,1
EMP,Empilhadores e Movimentação de Cargas,Segurança,Centro 2,2,100.0,50.0,86.7,52.0,20.0,10.0,82.0,97.9,High,Trainer scarcity,1
SST,Saúde e Segurança no Trabalho,Segurança,Centro 1,2,100.0,50.0,86.7,52.0,20.0,10.0,82.0,97.9,High,Trainer scarcity,1
ING,Inglês Profissional,Línguas,Centro 4,2,100.0,50.0,86.7,52.0,20.0,10.0,82.0,97.9,High,Trainer scarcity,1
LOG,Logística e Gestão de Armazém,Logística,Centro 5,2,100.0,50.0,86.7,52.0,20.0,10.0,82.0,97.9,High,Trainer scarcity,1
VND,Vendas e Negociação,Comercial,Centro 5,2,100.0,0.0,86.7,52.0,20.0,0.0,72.0,89.2,Upper-middle,Trainer scarcity,2
MNT,Manutenção Industrial Básica,Manutenção,Centro 1,2,100.0,0.0,86.7,52.0,20.0,0.0,72.0,89.2,Upper-middle,Trainer scarcity,2
HCP,HACCP Aplicado,Alimentar,Centro 5,2,50.0,50.0,86.7,52.0,10.0,10.0,72.0,89.2,Upper-middle,Trainer scarcity,2
HOT,Housekeeping e Operações Hoteleiras,Turismo,Centro 5,2,100.0,0.0,86.7,52.0,20.0,0.0,72.0,89.2,Upper-middle,Trainer scarcity,2
INF,"Infeção, Prevenção e Controlo",Saúde,Centro 1,2,100.0,0.0,86.7,52.0,20.0,0.0,72.0,89.2,Upper-middle,Trainer scarcity,2
INF,"Infeção, Prevenção e Controlo",Saúde,Centro 3,2,100.0,0.0,86.7,52.0,20.0,0.0,72.0,89.2,Upper-middle,Trainer scarcity,2
PRI,Primeiros Socorros,Saúde e Segurança,Centro 4,2,100.0,0.0,86.7,52.0,20.0,0.0,72.0,89.2,Upper-middle,Trainer scarcity,2
GES,Gestão de Equipas,Gestão,Centro 3,2,100.0,0.0,86.7,52.0,20.0,0.0,72.0,89.2,Upper-middle,Trainer scarcity,2
SEG,Segurança no Trabalho,Segurança,Centro 1,2,100.0,0.0,86.7,52.0,20.0,0.0,72.0,89.2,Upper-middle,Trainer scarcity,2
EMP,Empilhadores e Movimentação de Cargas,Segurança,Centro 5,2,50.0,50.0,86.7,52.0,10.0,10.0,72.0,89.2,Upper-middle,Trainer scarcity,2
SOC,Socorrismo Básico,Saúde e Segurança,Centro 3,2,50.0,50.0,86.7,52.0,10.0,10.0,72.0,89.2,Upper-middle,Trainer scarcity,2
TUR,Atendimento Turístico,Turismo,Centro 2,2,100.0,0.0,86.7,52.0,20.0,0.0,72.0,89.2,Upper-middle,Trainer scarcity,2
TUR,Atendimento Turístico,Turismo,Centro 5,2,100.0,0.0,86.7,52.0,20.0,0.0,72.0,89.2,Upper-middle,Trainer scarcity,2
VND,Vendas e Negociação,Comercial,Centro 4,2,100.0,0.0,86.7,52.0,20.0,0.0,72.0,89.2,Upper-middle,Trainer scarcity,2
GES,Gestão de Equipas,Gestão,Centro 4,2,100.0,0.0,86.7,52.0,20.0,0.0,72.0,89.2,Upper-middle,Trainer scarcity,2
LOG,Logística e Gestão de Armazém,Logística,Centro 2,3,100.0,66.7,60.0,36.0,20.0,13.3,69.3,81.2,Upper-middle,Trainer scarcity,3
SEG,Segurança no Trabalho,Segurança,Centro 2,3,100.0,66.7,60.0,36.0,20.0,13.3,69.3,81.2,Upper-middle,Trainer scarcity,3
